iter	Passed	Remaining
1429	87542	34894
1430	87604	34833
1431	87673	34775
1432	87736	34715
1433	87795	34652
1434	87850	34589
1435	87915	34529
1436	87978	34468
1437	88073	34420
1438	88138	34360
1439	88196	34298
1440	88251	34235
1441	88304	34170
1442	88364	34108
1443	88428	34048
1444	88486	33986
1445	88561	33930
1446	88619	33867
1447	88701	33814
1448	88773	33757
1449	88885	33715
1450	88937	33650
1451	88984	33583
1452	89039	33519
1453	89097	33457
1454	89166	33399
1455	89221	33335
1456	89278	33272
1457	89339	33211
1458	89397	33148
1459	89461	33088
1460	89527	33028
1461	89583	32965
1462	89647	32905
1463	89720	32848
1464	89782	32787
1465	89841	32725
1466	89900	32663
1467	89959	32600
1468	90022	32540
1469	90082	32478
1470	90149	32419
1471	90220	32361
1472	90287	32302
1473	90354	32243
1474	90413	32180
1475	90474	32119
1476	90525	32054
1477	90587	31993
1478	90645	31931
1479	90710	31871
1480	90762	31806
1481	90835	31749
1482	90887	31684
1483	90949	31623
1484	91003	31560
1485	91069	31500
1486	91127	31437
1487	91187	31376
1488	91248	31315
1489	91309	31253
1490	91392	31199
1491	91452	31138
1492	91514	31076
1493	91599	31023
1494	91661	30962
1495	91722	30901
1496	91775	30837
1497	91839	30776
1498	91907	30717
1499	91956	30652
1500	92009	30588
1501	92068	30525
1502	92126	30463
1503	92180	30399
1504	92232	30335
1505	92296	30275
1506	92351	30211
1507	92419	30152
1508	92477	30090
1509	92535	30028
1510	92588	29964
1511	92654	29904
1512	92712	29842
1513	92763	29777
1514	92824	29716
1515	92889	29656
1516	92951	29594
1517	93014	29534
1518	93066	29470
1519	93124	29407
1520	93174	29342
1521	93237	29282
1522	93294	29219
1523	93355	29158
1524	93416	29096
1525	93467	29032
1526	93524	28969
1527	93591	28910
1528	93664	28852
1529	93733	28793
1530	93796	28733
1531	93868	28675
1532	93923	28612
1533	93983	28550
1534	94037	28486
1535	94101	28426
1536	94159	28364
1537	94238	28308
1538	94301	28247
1539	94372	28189
1540	94449	28132
1541	94513	28072
1542	94590	28015
1543	94659	27956
1544	94717	27894
1545	94782	27833
1546	94842	27772
1547	94902	27710
1548	94967	27650
1549	95029	27589
1550	95090	27527
1551	95140	27463
1552	95195	27400
1553	95253	27337
1554	95319	27277
1555	95372	27214
1556	95426	27150
1557	95492	27090
1558	95548	27028
1559	95600	26964
1560	95681	26908
1561	95740	26846
1562	95794	26783
1563	95850	26720
1564	95916	26660
1565	95967	26596
1566	96021	26532
1567	96071	26468
1568	96126	26405
1569	96190	26345
1570	96241	26281
1571	96304	26220
1572	96371	26160
1573	96438	26100
1574	96498	26039
1575	96565	25979
1576	96616	25915
1577	96680	25854
1578	96736	25792
1579	96796	25730
